Time_Step,prod-rate-co2-r31,flow-time
0,0,0
20,1.490949921242317e-11,0.02
40,5.206371897035552e-11,0.04
60,9.189128699375748e-11,0.06
80,1.513988820328077e-10,0.08
100,2.405660880085105e-10,0.1
120,3.696646017914818e-10,0.12
140,5.506947833767924e-10,0.14
160,7.971225990496274e-10,0.16
180,1.123463909736651e-09,0.18
200,1.544743689446685e-09,0.2
220,2.075870674922996e-09,0.22
240,2.730976625202018e-09,0.24
260,3.522772273616598e-09,0.26
280,4.461967857418941e-09,0.28
300,5.556796715888367e-09,0.3
320,6.812669963660648e-09,0.32
340,8.231976014801874e-09,0.34
360,9.81402649921318e-09,0.36
380,1.155513782299882e-08,0.38
400,1.344883222598472e-08,0.4
420,1.548613685449273e-08,0.42
440,1.960969010539654e-08,0.44
460,2.314712822838603e-08,0.46
480,2.84417875697334e-08,0.48
500,3.62840875899714e-08,0.5
520,5.515196211823721e-08,0.52
540,9.119164406397892e-08,0.54
560,1.359510360337365e-07,0.5600000000000001
580,1.876920257145896e-07,0.58
600,2.447025120463815e-07,0.6
620,3.067456870039491e-07,0.62
640,3.741521510783907e-07,0.64
660,4.453481773018795e-07,0.66
680,5.186606173300501e-07,0.68
700,5.955350518119735e-07,0.7000000000000001
720,6.750681372193853e-07,0.72
740,7.484093673494391e-07,0.74
760,8.233974747764265e-07,0.76
780,8.987410245868877e-07,0.78
800,9.718025061136053e-07,0.8
820,1.044688338860504e-06,0.8200000000000001
840,1.115613352361737e-06,0.84
860,1.182176679954569e-06,0.86
880,1.248567804717873e-06,0.88
900,1.314572709776587e-06,0.9
920,1.379966515138625e-06,0.92
940,1.444629525379155e-06,0.9400000000000001
960,1.508392012940986e-06,0.96
980,1.57004039838275e-06,0.98
1000,1.629171026812911e-06,1
1020,1.684212143062471e-06,1.02
1040,1.739660267657088e-06,1.04
1060,1.790796465793888e-06,1.06
1080,1.840459851064563e-06,1.08
1100,1.888992259663227e-06,1.1
1120,1.936380931527235e-06,1.12
1140,1.982620061323072e-06,1.14
1160,2.027708995460556e-06,1.16
1180,2.07165160897693e-06,1.18
1200,2.112152121823547e-06,1.2
1220,2.149982617664417e-06,1.22
1240,2.186783643279478e-06,1.24
1260,2.222576960610248e-06,1.26
1280,2.257384703366583e-06,1.28
1300,2.291228033073883e-06,1.3
1320,2.324131694983228e-06,1.32
1340,2.356120082159586e-06,1.34
1360,2.382601953515212e-06,1.36
1380,2.401219145379214e-06,1.38
1400,2.420987002124785e-06,1.4
1420,2.440170357397606e-06,1.42
1440,2.458517519610873e-06,1.44
1460,2.473798593304452e-06,1.46
1480,2.488946135402044e-06,1.48
1500,2.503874594112473e-06,1.5
1520,2.518345703466547e-06,1.52
1540,2.53237751533386e-06,1.54
1560,2.545990774685277e-06,1.56
1580,2.559206423452418e-06,1.58
1600,2.572044670391996e-06,1.6
1620,2.584524763596501e-06,1.62
1640,2.596664826363237e-06,1.64
1660,2.606922660746702e-06,1.66
1680,2.615979677514759e-06,1.68
1700,2.624773364795525e-06,1.7
1720,2.632490106616097e-06,1.72
1740,2.638000581687014e-06,1.74
1760,2.643659620826371e-06,1.76
1780,2.649114450808954e-06,1.78
1800,2.654016268728051e-06,1.8
1820,2.659104558304798e-06,1.82
1840,2.664025605140579e-06,1.84
1860,2.668429666654163e-06,1.86
1880,2.673050327770045e-06,1.88
1900,2.677533406529433e-06,1.9
1920,2.681529045998892e-06,1.92
1940,2.685765214685754e-06,1.94
1960,2.689887904084474e-06,1.96
1980,2.693547706389039e-06,1.98
2000,2.697467056404389e-06,2
""
