Time_Step,tau-chem-r2,flow-time
0,0,0
20,63330388.23809109,0.02
40,32253959.59857707,0.04
60,22931694.45349971,0.06
80,16930086.66342366,0.08
100,12776012.75175085,0.1
120,9838585.43700389,0.12
140,7720056.530077293,0.14
160,6163980.980388809,0.16
180,5001527.244050881,0.18
200,4119388.713834256,0.2
220,3440160.930477366,0.22
240,2910065.942939389,0.24
260,2491144.606439319,0.26
280,2156215.335536348,0.28
300,1885532.575794171,0.3
320,1664572.298484936,0.32
340,1482513.207715146,0.34
360,1331206.282654813,0.36
380,1204444.23396457,0.38
400,1097449.875266651,0.4
420,1006511.683828625,0.42
440,884911.9923345692,0.44
460,803376.9043934952,0.46
480,716866.2286153049,0.48
500,629037.6218419485,0.5
520,508544.5758523095,0.52
540,395614.1599226107,0.54
560,323480.4447016048,0.5600000000000001
580,274558.4753843518,0.58
600,239615.3562913191,0.6
620,213198.1638000372,0.62
640,192284.9047711258,0.64
660,175541.9827680597,0.66
680,162012.7834211478,0.68
700,150612.8195549689,0.7000000000000001
720,140937.7842285482,0.72
740,133342.4632015396,0.74
760,126672.1063380157,0.76
780,120836.3403922913,0.78
800,115828.5492610205,0.8
820,111375.5727849539,0.8200000000000001
840,107466.7871551381,0.84
860,104109.4841695627,0.86
880,101044.5149101236,0.88
900,98240.87918780497,0.9
920,95673.28467174841,0.92
940,93315.9997650765,0.9400000000000001
960,91149.17034661562,0.96
980,89182.95579574442,0.98
1000,87403.63358894398,1
1020,85827.01625070583,1.02
1040,84325.88489154799,1.04
1060,83000.12249675866,1.06
1080,81769.50044427969,1.08
1100,80618.02908296764,1.1
1120,79539.32927312286,1.12
1140,78527.5991623335,1.14
1160,77577.58089871943,1.16
1180,76684.50446377532,1.18
1200,75883.45074611073,1.2
1220,75154.41624528328,1.22
1240,74465.81821648429,1.24
1260,73814.74225676742,1.26
1280,73198.53069587615,1.28
1300,72614.77749762085,1.3
1320,72061.24617681565,1.32
1340,71535.89105893215,1.34
1360,71106.97254878977,1.36
1380,70804.45523984992,1.38
1400,70483.86442151181,1.4
1420,70177.42172801454,1.42
1440,69887.85443770552,1.44
1460,69646.05368645898,1.46
1480,69410.27838980083,1.48
1500,69181.49961851152,1.5
1520,68962.66639993471,1.52
1540,68753.18532047416,1.54
1560,68552.45600396149,1.56
1580,68359.91465111049,1.58
1600,68175.03739666025,1.6
1620,67997.3385394356,1.62
1640,67826.37499192345,1.64
1660,67681.1856362891,1.66
1680,67552.82170346446,1.68
1700,67429.39147807962,1.7
1720,67320.78266778271,1.72
1740,67240.83359116655,1.74
1760,67160.11861387258,1.76
1780,67082.78309546434,1.78
1800,67013.13377697258,1.8
1820,66942.0942152652,1.82
1840,66873.78784083031,1.84
1860,66812.50699512589,1.86
1880,66749.33380791536,1.88
1900,66688.37410098434,1.9
1920,66633.89976604526,1.92
1940,66577.13777185115,1.94
1960,66522.17092789183,1.96
1980,66473.245174654,1.98
2000,66421.72197849027,2
""
